Row,Registration,Zipcode,Age,Partner_company,Friend_promo,Contract_period,Lifetime,Class_registration_weekly,Avg_additional_charges_total,Cancellation_freq,Exited,
10033,2004476,29941,27,0,0,12,5,0.7,203,0,0,
10034,2004551,29941,40,0,1,12,5,1.36,202.2,0.04,0,
10035,2004632,29941,35,1,1,1,4,0.81,222.5,0.24,1,
10036,2004987,57328,28,1,0,12,4,2.3,171.08,0.09,0,
10037,2005040,57328,26,0,0,1,5,1.39,243.3333333,0.04,0,
10038,2005079,57328,44,0,0,12,3,1.23,84.05,0.41,1,
10039,2005126,57328,31,1,0,1,5,2.71,225.6,0.01,0,
10040,2005227,29941,46,0,1,1,4,0,139.74,0,0,
10041,2005228,29941,22,0,1,12,4,1.71,142.56,0.01,0,
10042,2005446,29941,64,0,1,12,3,1.32,235.6666667,0.04,0,
10043,2005519,29941,39,1,0,1,6,2.21,145.35,0.13,0,
10044,2005543,29941,63,0,0,1,3,0.83,95.58,0.19,1,
10045,2005617,57328,33,1,0,12,6,0.99,180.54,0.01,0,
10046,2005623,57328,27,0,1,12,8,0.72,216.3333333,0,0,
10047,2005740,57328,43,1,0,12,9,0,189.6666667,0,0,
10048,2005766,57328,38,0,1,12,8,1.3,250.92,0.07,0,
10049,2005857,57328,24,0,1,12,8,2.59,217.3333333,0.14,0,
10050,2006154,29941,38,1,1,1,1,0.2,130,0.15,1,
10051,2006158,29941,29,1,0,1,2,1.2,172.92,0,0,
10052,2006170,29941,51,1,1,1,2,0.11,97.52,0.08,1,
10053,2006196,57328,45,0,0,12,4,0.62,207.84,0,0,
10054,2006227,29941,55,1,1,1,4,0.9,94,0.25,1,
10055,2006234,29941,52,1,0,1,4,1.3,229,0.06,0,
10056,2006423,57328,48,1,0,12,9,1.87,143.31,0.01,0,
10057,2006486,29941,27,0,1,6,7,0.87,161.46,0.09,0,
10058,2007047,57328,28,0,1,12,3,0.37,266,0,0,
10059,2007087,33726,62,0,0,12,4,1.13,168.56,0.11,1,
10060,2007142,57328,60,1,1,12,2,1.13,149.94,0.47,1,
10061,2007211,57328,32,0,1,12,2,2.15,194.4,0.16,0,
10062,2007335,29941,48,0,1,6,3,1.23,43.68,0.27,1,
10063,2007384,57328,34,1,0,12,11,0.46,184.24,0,0,
10064,2008160,29941,42,0,0,1,2,0.33,76.95,0.12,1,
10065,2008295,57328,44,1,0,6,5,0.67,115,0,0,
10066,2008314,29941,50,1,0,6,3,1.38,224.6666667,0.06,0,
10067,2008394,29941,40,0,0,1,1,0.33,122.04,0.14,1,
10068,2008588,57328,49,0,1,1,6,1.88,188.6666667,0.06,0,
10069,2008881,29941,27,0,1,12,10,1.36,234.3333333,0.03,0,
10070,2009230,29941,31,1,0,12,5,1.23,102.96,0.02,0,
10071,2009328,29941,69,0,1,12,4,2.4,241.6666667,0.28,0,
10072,2009369,57328,31,1,0,1,7,2.53,205.3333333,0.26,0,
10073,2009410,29941,38,1,0,6,3,1.08,209.3333333,0.04,0,
10074,2009494,29941,35,0,1,1,2,0.87,215.22,0.11,1,
10075,2009758,57328,68,0,1,1,3,1.93,132,0.2,0,
10076,2009850,29941,33,0,1,1,7,0.59,252.2,0.02,0,
10077,2009884,57328,33,1,1,12,7,0.95,245,0.07,0,
10078,2009902,57328,34,0,1,6,10,0.75,248,0.05,0,
10079,2009915,57328,25,0,1,12,5,0.95,233,0,0,
10080,2010035,57328,66,1,0,12,6,2.24,150.24,0.19,0,
10081,2010197,57328,46,1,0,12,2,1.68,168.6666667,0.11,0,
10082,2010239,29941,24,0,1,12,3,2.26,120.87,0.14,0,
10083,2010251,29941,71,0,0,1,5,1.62,169.4,0.32,1,
10084,2010271,29941,62,0,0,6,2,0,147.68,0,1,
10085,2010348,29941,37,0,0,6,3,1.72,283.3333333,0,0,
10086,2010401,29941,30,0,1,12,8,2.52,210.6666667,0.29,0,
10087,2010571,57328,34,0,1,12,5,1.31,229.3333333,0.1,0,
10088,2011115,29941,46,0,0,1,6,1.05,68.64,0.13,1,
10089,2011185,29941,25,1,0,1,1,1.58,163.08,0.02,1,
10090,2011431,57328,30,0,1,12,5,0.82,195,0,0,
10091,2011529,57328,38,1,0,1,2,1.68,261,0.18,0,
10092,2011563,57328,40,0,1,1,6,2.04,65.7,0.06,0,
10093,2011583,33726,62,1,1,12,1,1.54,63.25,0.04,1,
10094,2011821,57328,48,1,0,6,4,1.24,99.36,0,0,
10095,2011854,33726,46,0,0,6,2,1.49,107.06,0.09,1,
10096,2011879,29941,39,0,1,12,10,0.88,239.2,0,0,
10097,2012139,29941,34,0,1,1,4,1.67,204.5,0.14,0,
10098,2012604,57328,43,1,0,12,4,1.75,215,0,0,
10099,2012687,57328,30,0,1,12,2,0.87,126.48,0,0,
10100,2012784,29941,31,1,0,6,5,3.27,187.3333333,0.52,0,
10101,2012874,57328,39,1,0,1,9,1.94,192.6,0.09,0,
10102,2013002,33726,38,1,0,12,7,1.9,233.3333333,0,0,
10103,2013077,57328,30,0,1,12,9,2.11,190.56,0.26,0,
10104,2013134,29941,38,1,0,1,7,2.95,268.3333333,0.4,0,
10105,2013225,57328,32,1,0,12,4,2.01,207.06,0.09,0,
10106,2013265,29941,58,0,1,12,2,0.27,257,0,0,
10107,2013284,29941,36,0,1,6,4,0.87,261.6666667,0.05,0,
10108,2013416,29941,35,1,1,1,2,1.1,171.6,0.39,1,
10109,2013556,57328,30,1,0,12,7,2.72,208.25,0.45,0,
10110,2013603,29941,31,1,0,12,4,1.33,138.24,0.2,0,
10111,2013765,57328,35,0,1,6,2,2.03,147.9,0.15,0,
10112,2014048,33726,46,1,1,12,1,1.14,63.72,0.2,1,
10113,2014176,29941,26,0,1,6,11,2.52,126,0.13,0,
10114,2014268,29941,35,1,1,1,2,3.21,172,0.3,0,
10115,2014361,29941,29,1,0,1,3,1.49,193.3333333,0.02,0,
10116,2014507,57328,36,0,1,6,8,1.9,121.03,0.06,0,
10117,2014555,57328,43,0,1,1,12,2.06,230,0.14,0,
10118,2014568,57328,37,1,0,6,5,1.43,139.38,0.13,0,
10119,2014694,57328,29,1,0,12,1,1.86,245.6666667,0.15,0,
10120,2014758,33726,45,0,0,12,2,1.22,65.88,0.12,1,
10121,2014778,33726,42,1,0,6,12,1.59,225.3333333,0.01,0,
10122,2014880,57328,32,0,1,1,3,0.93,247.3333333,0.01,0,
10123,2014941,57328,71,0,1,12,9,3.22,213.3333333,0.51,0,
10124,2015041,57328,27,0,1,6,8,2.05,238.6666667,0.07,0,
10125,2015188,57328,31,1,0,1,1,2.68,212.5,0.32,0,
10126,2015202,29941,24,1,0,12,2,2.4,233.6666667,0.22,0,
10127,2015348,29941,40,0,0,1,4,0,98.7,0,1,
10128,2015367,57328,33,1,0,1,8,1.67,157.85,0,0,
10129,2015441,57328,40,0,1,1,4,0.55,174,0,0,
10130,2015549,29941,28,0,0,1,4,2.42,141.36,0.77,1,
10131,2015592,57328,31,0,1,12,1,1.79,99.68,0.02,0,
10132,2015613,29941,38,0,1,12,2,1.55,112.48,0,0,
10133,2016530,57328,48,1,1,1,2,0.21,130.9,0.09,1,
10134,2016577,57328,31,0,1,1,4,2.4,179.4,0.11,0,
10135,2016628,33726,36,1,1,12,3,1.37,141.27,0.15,1,
10136,2016668,57328,38,0,1,1,2,3.26,283.3333333,0.47,0,
10137,2016674,57328,49,1,0,12,4,1.08,196,0.11,0,
10138,2017082,29941,27,1,0,12,2,1.41,155.3333333,0,0,
10139,2017311,29941,40,0,0,1,3,0,52.44,0,1,
10140,2017411,29941,29,0,1,1,13,2.32,170.1,0.24,0,
10141,2018057,57328,30,0,1,12,5,2.12,269,0.31,0,
10142,2018075,29941,72,1,0,12,11,0.63,172,0,0,
10143,2018089,57328,32,1,0,1,3,1.43,257.05,0.07,0,
10144,2018195,29941,81,0,1,6,7,0.79,219.42,0,0,
10145,2018237,29941,29,0,1,6,5,2.02,224.72,0.22,0,
10146,2018263,29941,37,1,1,1,2,0.32,111.76,0.07,1,
10147,2018352,29941,34,1,0,1,2,2.21,197.22,0.03,0,
10148,2018363,57328,34,1,0,12,6,1.33,141.44,0,0,
10149,2018432,29941,59,1,1,6,4,0.79,55.93,0.11,1,
10150,2018650,29941,69,0,1,6,4,2.36,126,0.16,0,
10151,2018703,29941,33,1,1,1,8,1.11,112.85,0.29,1,
10152,2019026,29941,35,1,0,1,3,1.13,222.3333333,0,0,
10153,2019225,29941,33,1,0,6,13,1.69,235.32,0.15,0,
10154,2019400,29941,61,0,1,6,5,0.94,143.82,0.09,0,
10155,2019527,29941,36,1,1,12,5,2.46,213,0.15,0,
10156,2019531,29941,47,1,1,12,5,1.47,139.7,0.35,1,
10157,2019597,29941,31,0,1,1,3,1.57,197,0.21,0,
10158,2019690,57328,37,0,1,1,5,1.98,143.88,0.17,0,
10159,2019700,29941,26,0,1,1,2,2.53,182.28,0.18,0,
10160,2019911,29941,39,0,1,12,4,1.79,252,0.26,0,
10161,2020139,29941,23,1,0,12,2,0.25,195.84,0,0,
10162,2020203,29941,39,0,1,6,7,1.64,216,0.21,0,
10163,2020206,57328,70,0,1,1,4,1.07,229.6666667,0,0,
10164,2020293,29941,55,1,1,1,3,0.54,38.7,0.09,1,
10165,2020435,29941,30,1,0,1,2,0.09,89.1,0.05,1,
10166,2020742,57328,71,0,1,12,3,0.81,210.6666667,0.03,0,
10167,2020913,29941,28,1,0,1,4,0.73,148.96,0.05,0,
10168,2020993,29941,53,1,1,6,2,0.92,126.69,0.28,1,
10169,2021019,29941,47,0,0,12,8,1.13,85.26,0.32,1,
10170,2021107,29941,63,1,0,6,5,0.42,264,0,0,
10171,2021162,57328,37,0,1,6,3,2.63,168.3333333,0.12,0,
10172,2021341,29941,27,1,0,12,12,2.05,232.6666667,0.01,0,
10173,2021534,57328,34,1,0,1,11,0.32,155.55,0.04,0,
10174,2021616,29941,32,1,0,12,2,2.57,232.3333333,0.18,0,
10175,2021665,29941,41,1,1,1,2,0.33,124.83,0.1,1,
10176,2021677,57328,62,1,1,12,3,0.99,102.29,0.19,1,
10177,2021705,57328,23,0,1,6,2,0.34,194.04,0,0,
10178,2021947,29941,36,0,1,12,4,0.84,198.3333333,0.05,0,
10179,2022016,57328,34,1,0,6,13,1.84,186.3,0.07,0,
10180,2022068,57328,49,1,0,12,6,1.93,196.65,0,0,
10181,2022128,57328,31,0,1,12,3,1.95,170.15,0.14,0,
10182,2022137,57328,40,1,0,12,2,0.97,213.84,0,0,
10183,2022335,57328,34,0,1,12,5,1.46,147.95,0.11,0,
10184,2022484,29941,31,1,0,1,19,1.61,213.59,0.13,0,
10185,2022576,29941,31,1,0,1,3,3.23,239.2,0,0,
10186,2022621,57328,30,0,1,1,2,1.7,221.3333333,0.1,0,
10187,2022934,57328,43,1,1,1,3,0,126.36,0,1,
10188,2022987,57328,32,0,1,1,6,1.68,242.21,0,0,
10189,2023005,29941,25,1,0,1,2,1.62,173.25,0.03,0,
10190,2023044,29941,45,1,1,1,5,1.58,152.68,0,0,
10191,2023220,29941,73,1,1,6,3,2.76,231,0.35,0,
10192,2023399,33726,39,1,0,1,3,1.45,196.98,0.44,1,
10193,2023446,29941,51,0,0,1,3,1.95,125.2,0.74,1,
10194,2023464,57328,40,0,1,12,5,2.99,172.26,0.21,0,
10195,2023482,57328,31,1,0,1,4,0.83,247.3333333,0.01,0,
10196,2023523,57328,32,0,1,12,4,1.38,233.6666667,0.01,0,
10197,2023562,57328,34,0,1,12,8,2.43,72.57,0.18,0,
10198,2023614,29941,45,1,1,1,2,0.47,79.58,0.17,1,
10199,2023798,29941,61,0,0,12,5,0.51,186.03,0.26,1,
10200,2023821,29941,29,0,1,1,2,1.47,210.6666667,0,0,
10201,2023829,33726,45,1,1,1,2,2.06,185.13,0.13,1,
10202,2024039,57328,30,1,0,1,1,2.33,176.9,0,0,
10203,2024130,57328,29,1,0,12,4,2.36,260.6666667,0,0,
10204,2024159,33726,57,0,0,12,3,0.97,117.52,0.22,1,
10205,2024170,57328,21,1,0,6,6,1.76,203.6666667,0.12,0,
10206,2024298,29941,54,0,0,12,3,0.5,50.96,0.12,1,
10207,2024341,57328,33,1,0,12,8,1.38,199.3333333,0,0,
10208,2024506,29941,41,1,1,1,3,2.02,115.26,0.56,1,
10209,2024756,29941,22,1,0,12,4,2.63,196.32,0.1,0,
10210,2024807,29941,41,1,1,1,2,1.21,110.45,0.3,1,
10211,2024863,29941,35,0,0,1,5,1.56,77.85,0.54,1,
10212,2024870,29941,50,0,1,12,7,2.11,205.6666667,0.31,0,
10213,2025065,29941,34,0,1,6,16,2.44,198,0.2,0,
10214,2025119,29941,29,0,0,1,3,0.55,203.32,0.17,1,
10215,2025508,33726,38,0,0,1,2,1.47,157.03,0.09,1,
10216,2025631,57328,37,0,0,1,10,1.75,249.3333333,0.03,0,
10217,2025743,29941,23,1,0,12,4,1.66,198.12,0.14,0,
10218,2025888,29941,35,1,0,1,9,0.07,104.16,0,0,
10219,2025988,29941,31,0,1,1,7,2.26,121.9,0.27,0,
10220,2026032,29941,30,0,1,12,4,0.75,121.5,0,0,
10221,2026265,57328,24,1,0,12,5,0.89,206.3333333,0.07,0,
10222,2026558,57328,29,0,1,12,6,1,112.7,0.04,0,
10223,2026562,29941,41,1,0,6,6,2.46,210,0.35,0,
10224,2026571,57328,29,1,0,12,4,2.44,187.6666667,0,0,
10225,2026591,29941,29,1,0,6,7,1.28,215.6666667,0.05,0,
10226,2026637,57328,23,0,1,1,2,1.55,243.3333333,0.09,0,
10227,2026649,57328,26,0,1,6,5,1.58,212.99,0.04,0,
10228,2026650,29941,26,0,0,1,3,1.14,84.27,0.29,1,
10229,2026895,57328,53,0,0,1,4,1,86.68,0,0,
10230,2026975,57328,34,1,0,6,11,2.72,86.94,0.26,0,
10231,2027687,57328,25,0,1,1,7,2.04,193.6666667,0.11,0,
10232,2027692,57328,34,1,1,1,3,1.48,200,0.05,0,
10233,2027809,29941,52,0,0,12,3,0.65,94.05,0.18,1,
10234,2027852,57328,35,0,1,1,3,1.36,260.3333333,0.11,0,
10235,2028091,57328,61,1,0,1,11,2.44,236.6666667,0.28,0,
10236,2028527,29941,35,1,0,12,8,2.68,167.96,0,0,
10237,2028571,33726,32,0,1,6,3,1.68,233,0.02,0,
10238,2028581,29941,52,0,1,12,4,1.96,212.6666667,0.29,0,
10239,2028625,29941,45,1,1,12,4,0,63.7,0,1,
10240,2029155,29941,60,0,0,12,4,1.5,224.64,0.38,1,
10241,2029288,57328,27,0,1,6,6,1.68,241.6666667,0.2,0,
10242,2029321,57328,47,1,0,12,9,2.28,197.64,0.31,0,
10243,2029338,29941,34,0,1,12,2,3.08,259.3333333,0.22,0,
10244,2029408,29941,30,0,1,12,7,1.25,249.9,0.16,0,
10245,2029426,57328,46,1,1,1,2,1.94,198.86,0.66,1,
10246,2029453,57328,32,1,0,12,11,2.79,270,0.48,0,
10247,2029690,57328,39,1,0,12,3,1.17,197.3333333,0.09,0,
10248,2029748,29941,29,1,0,1,3,2.01,233.2,0.16,0,
10249,2029951,29941,33,0,1,12,9,1.52,218.25,0.04,0,
10250,2030095,57328,70,0,1,12,4,1.76,199.75,0.27,0,
10251,2030248,57328,28,1,0,1,4,2.35,219.6666667,0.24,0,
10252,2030403,57328,42,1,1,6,6,0.3,67.31,0.1,1,
10253,2030404,57328,32,1,0,12,7,1.38,228.6666667,0.07,0,
10254,2030447,57328,23,0,1,1,3,0.97,211.6666667,0,0,
10255,2030468,29941,32,1,0,12,5,1.72,216.6666667,0.17,0,
10256,2030634,57328,28,0,1,12,3,2.63,142.65,0.09,0,
10257,2030931,29941,28,0,1,12,3,0.9,191.7,0.04,0,
10258,2030943,57328,33,0,1,12,2,2.01,171.08,0.09,0,
10259,2030983,29941,24,1,0,1,5,0.54,167.09,0.03,0,
10260,2031031,29941,36,0,1,12,2,2.33,120.96,0.46,0,
10261,2031126,57328,29,1,0,12,4,1.88,231.3333333,0.08,0,
10262,2031215,33726,53,1,1,1,3,1.43,158.27,0.21,1,
10263,2031509,29941,54,0,0,1,4,0.92,88.32,0.33,1,
10264,2031570,29941,34,0,1,1,2,3.32,206,0.25,0,
10265,2031659,29941,49,0,0,12,2,1.48,129.36,0.39,1,
10266,2031683,57328,33,1,0,1,9,1.94,175.3333333,0.2,0,
10267,2031794,57328,32,1,1,1,6,1.49,281.05,0.01,0,
10268,2031839,57328,21,1,0,12,10,1.8,251,0.32,0,
10269,2031928,29941,49,1,1,12,3,0.34,44.16,0.03,1,
10270,2031954,57328,57,1,0,6,3,1.71,205.3333333,0.07,0,
10271,2032146,57328,41,0,1,1,6,1.28,237.6666667,0.07,0,
10272,2032209,57328,39,0,1,1,5,3.72,260.1,0.15,0,
10273,2032477,29941,41,1,0,12,5,1.31,220.3333333,0,0,
10274,2032871,29941,36,0,1,12,8,1.39,130.34,0,0,
10275,2033322,29941,39,0,1,6,3,0,214.3333333,0,0,
10276,2033494,29941,31,0,1,12,9,2.19,134.75,0.17,0,
10277,2033586,57328,31,0,1,12,2,1.54,249.3333333,0,0,
10278,2033656,57328,30,1,0,6,5,1.22,219.6666667,0.1,0,
10279,2033689,29941,45,0,1,1,16,3.17,257,0.25,0,
10280,2034116,29941,43,1,0,12,2,1.18,233.6666667,0.11,0,
10281,2034135,57328,36,0,1,12,3,1.12,63.36,0.15,0,
10282,2034282,57328,36,1,0,12,10,2.55,246,0.31,0,
10283,2034304,29941,36,0,1,12,4,0.97,252,0.1,0,
10284,2034497,29941,76,1,0,12,6,0.96,226.29,0,0,
10285,2034545,29941,29,0,1,1,2,1.29,206.4,0.01,0,
10286,2034830,57328,34,1,0,6,9,1.24,263.6666667,0.14,0,
10287,2034861,57328,27,0,1,12,3,2.52,132.87,0.05,0,
10288,2034938,57328,29,0,1,12,6,1.36,232.3333333,0.04,0,
10289,2034955,29941,22,1,1,1,5,0.73,195.48,0.29,1,
10290,2035047,29941,43,0,1,1,8,3.13,185.22,0.19,0,
10291,2035564,57328,34,0,1,12,1,2.34,123.5,0.18,0,
10292,2035665,57328,27,1,0,6,3,2.92,183.3333333,0.38,0,
10293,2035774,29941,32,1,0,12,2,1.67,218.4,0.14,0,
10294,2035945,29941,57,1,1,1,2,0.59,178.75,0.18,1,
10295,2036171,29941,32,0,1,12,3,0.96,229.3333333,0,0,
10296,2036235,29941,25,1,0,12,9,1.61,141,0.07,0,
10297,2036428,29941,28,0,1,1,12,0.65,188.6666667,0,0,
10298,2036703,29941,30,1,0,12,3,1.7,116.84,0.18,0,
10299,2036727,29941,54,1,1,1,2,0.61,57.24,0.11,1,
10300,2036996,29941,42,1,0,12,6,1.51,183,0.05,0,
10301,2037008,57328,35,0,1,12,8,1.88,164.5,0.2,0,
10302,2037523,57328,31,1,0,12,2,0.48,188.15,0.01,0,
10303,2037627,57328,43,0,0,12,2,0.82,42.92,0.24,1,
10304,2037716,57328,24,0,1,12,9,1.47,151.74,0.06,0,
10305,2037798,29941,49,1,1,12,1,0.62,109.71,0.16,1,
10306,2037928,57328,29,0,1,12,4,1.84,164.25,0.14,0,
10307,2037938,57328,40,1,0,1,7,2.33,220.3333333,0.12,0,
10308,2037975,29941,20,1,0,6,13,2.61,232,0.12,0,
10309,2038296,29941,56,0,0,12,2,0.49,189.28,0.13,1,
10310,2038386,57328,34,1,0,12,11,2,258,0.02,0,
10311,2038695,29941,37,1,0,12,2,2.05,177.6666667,0.27,0,
10312,2039078,57328,35,0,1,12,4,1.78,137.8,0.21,0,
10313,2039375,57328,34,1,0,12,2,3.12,221.6666667,0.06,0,
10314,2039570,29941,35,0,1,1,14,1.4,214,0.14,0,
10315,2039812,57328,37,0,1,12,2,2.66,169,0.02,0,
10316,2040076,29941,65,1,1,12,2,0.78,56.18,0,1,
10317,2040091,57328,31,1,0,1,7,1.88,227.6666667,0.06,0,
10318,2040128,57328,28,1,0,12,2,1.9,222.75,0,0,
10319,2040276,29941,26,0,1,1,3,2.59,247.6666667,0.29,0,
10320,2040322,29941,51,1,0,12,7,0.8,236,0.09,0,
10321,2040682,29941,25,0,0,12,5,1.39,189.6,0.07,0,
10322,2040706,29941,30,0,1,6,1,1.52,194.6666667,0.23,0,
10323,2040740,57328,50,1,0,12,2,1.74,196.24,0.07,0,
10324,2041288,29941,71,1,1,1,5,1.21,132.5,0.31,1,
10325,2041298,57328,44,1,0,6,4,1.9,178.2,0.15,0,
10326,2041445,29941,54,1,0,1,3,1.47,44.59,0.42,1,
10327,2041533,57328,50,0,1,1,6,2.65,213.3333333,0.13,0,
10328,2041554,57328,28,0,1,12,8,1.32,188.94,0.09,0,
10329,2041679,29941,30,0,0,1,5,0.97,175.42,0.3,1,
10330,2041701,29941,34,0,1,12,2,2.24,219.6666667,0,0,
10331,2041836,29941,38,0,0,1,2,0.31,156.06,0.12,1,
10332,2042112,57328,27,1,0,12,7,0.82,255.3333333,0,0,
10333,2042139,57328,27,1,0,6,4,1.47,243.04,0,0,
10334,2042160,29941,30,1,0,1,2,2.28,124.7,0.29,1,
10335,2042274,29941,41,0,1,12,4,2.75,200,0,0,
10336,2042358,29941,49,1,0,12,4,0.72,244.29,0.04,1,
10337,2042388,29941,35,0,1,12,5,2.06,249.6,0.31,0,
10338,2042484,57328,44,0,1,1,3,1.8,220.3333333,0.12,0,
10339,2042544,29941,38,1,0,6,4,1.63,185.3333333,0.03,0,
10340,2042594,29941,37,0,1,12,3,2.73,229,0.2,0,
10341,2042682,29941,35,0,1,1,3,1.67,238.3333333,0,0,
10342,2042768,57328,31,1,0,6,2,0.2,178.45,0,0,
10343,2043055,65232,41,0,1,12,4,1.01,45.08,0.27,1,
10344,2043135,57328,57,0,0,12,2,0.81,31.96,0.23,1,
10345,2043277,29941,31,1,0,12,3,0.6,239.2,0,0,
10346,2043287,57328,20,1,0,6,4,1.81,236.6666667,0.33,0,
10347,2043436,29941,25,1,0,12,7,1.39,236.91,0.06,0,
10348,2043763,29941,73,0,1,6,1,2.36,212.16,0.34,0,
10349,2043829,57328,51,0,0,1,2,0.49,22.54,0.2,1,
10350,2043884,29941,47,1,1,1,2,1.88,75.46,0.13,1,
10351,2043987,29941,43,0,1,12,5,2.4,167.3333333,0,0,
10352,2044094,33726,42,0,0,12,4,1.51,112.89,0.2,1,
10353,2044156,29941,41,1,1,6,4,0.88,154.55,0.03,0,
10354,2044218,29941,58,0,1,1,4,2.43,205.3333333,0.11,0,
10355,2044279,57328,26,0,1,6,4,0.37,241.68,0.02,0,
10356,2044332,57328,29,0,1,1,7,0.65,207.48,0.07,0,
10357,2044767,29941,43,1,1,1,7,1.26,125.58,0.33,1,
10358,2044784,29941,40,1,0,12,5,2.28,226.3333333,0.21,0,
10359,2044838,57328,34,0,1,12,6,0.59,283.3333333,0.03,0,
10360,2044976,29941,48,0,0,1,1,0.31,121.89,0.15,1,
10361,2044988,29941,36,1,1,1,1,0.83,180.32,0.09,0,
10362,2045219,29941,32,1,0,1,5,1.45,142.08,0.01,0,
10363,2045277,57328,27,0,1,12,2,0.96,252.6666667,0,0,
10364,2045314,57328,33,1,0,1,11,1.98,221.3333333,0.21,0,
10365,2045331,29941,26,1,0,12,6,1.93,158.6666667,0,0,
10366,2045492,29941,30,0,1,12,3,0.93,283.3333333,0,0,
10367,2045642,57328,34,0,0,1,6,3.07,203.51,0.3,0,
10368,2045868,29941,26,0,0,1,5,0.96,68.04,0.08,0,
10369,2045954,29941,45,1,1,12,4,1.31,69.92,0.12,1,
10370,2046000,33726,28,1,0,6,2,2.62,241.31,0,0,
10371,2046109,29941,43,1,1,12,3,0.87,196.04,0.28,1,
10372,2046181,57328,45,0,0,12,6,1.15,177.32,0.09,0,
10373,2046358,29941,34,1,1,6,7,0,257.04,0,0,
10374,2046817,29941,48,0,0,12,2,1.2,118.5,0.35,1,
10375,2046967,57328,33,0,1,1,5,1.6,200.56,0.11,0,
10376,2047059,29941,34,0,1,12,2,0.45,194.6666667,0,0,
10377,2047376,57328,53,1,0,1,8,1.24,197.5,0.05,0,
10378,2047528,57328,32,0,1,12,8,0,214.3333333,0,0,
10379,2047699,57328,35,1,0,12,3,1.48,170.6666667,0.18,0,
10380,2047712,57328,29,1,0,6,10,1.54,218,0.07,0,
10381,2047923,33726,67,0,1,12,4,1.61,251.44,0.1,0,
10382,2048081,57328,38,1,0,1,1,1.17,260,0.11,0,
10383,2048138,29941,46,0,1,6,3,0.27,219.3333333,0,0,
10384,2048176,29941,37,0,1,1,3,1.86,238,0.07,0,
10385,2048404,29941,58,1,1,1,4,1.02,140.36,0.24,1,
10386,2048457,57328,33,1,0,6,7,0.93,251.6666667,0.06,0,
10387,2048458,57328,44,0,1,1,3,0.89,198.5,0.05,0,
10388,2048471,29941,55,1,1,6,2,0.91,197.76,0.28,1,
10389,2048618,29941,36,1,0,12,6,0.03,154.55,0,0,
10390,2048807,57328,36,1,0,12,3,1.04,85,0.04,0,
10391,2049350,29941,52,1,0,1,4,3.04,237.6666667,0.23,0,
10392,2049457,29941,42,1,1,1,4,0.04,73.8,0.03,1,
10393,2049861,57328,40,0,1,1,4,1.87,200.3333333,0.09,0,
10394,2049919,29941,20,1,0,12,2,1.06,186,0.15,0,
10395,2050241,29941,25,0,1,12,3,2,121.03,0.15,0,
10396,2050382,29941,42,0,1,1,3,1.44,197.08,0,0,
10397,2050627,29941,49,1,1,12,4,1.25,156.31,0.48,1,
10398,2050851,29941,62,1,1,1,6,0.27,97,0.12,1,
